eval_loss,train_steps_per_second,eval_runtime,grad_norm,total_flos,train_runtime,epoch,eval_samples_per_second,eval_steps_per_second,train_loss,loss,learning_rate,step,train_samples_per_second
,,,0.4449286460876465,,,0.2222222222222222,,,,1.4838,9.555555555555557e-05,10,
1.4006733894348145,,3.2899,,,,0.2222222222222222,26.445,3.344,,,,10,
,,,0.5353887677192688,,,0.4444444444444444,,,,1.318,9.111111111111112e-05,20,
1.211700201034546,,3.3457,,,,0.4444444444444444,26.004,3.288,,,,20,
,,,0.663129985332489,,,0.6666666666666666,,,,1.1176,8.666666666666667e-05,30,
0.9960879683494568,,3.407,,,,0.6666666666666666,25.536,3.229,,,,30,
,,,0.780597448348999,,,0.8888888888888888,,,,0.8841,8.222222222222222e-05,40,
0.7398664355278015,,3.4175,,,,0.8888888888888888,25.457,3.219,,,,40,
,,,0.9236945509910583,,,1.1111111111111112,,,,0.6148,7.777777777777778e-05,50,
0.45761021971702576,,3.4399,,,,1.1111111111111112,25.291,3.198,,,,50,
,,,0.8330952525138855,,,1.3333333333333333,,,,0.3511,7.333333333333333e-05,60,
0.233057901263237,,3.4554,,,,1.3333333333333333,25.178,3.183,,,,60,
,,,0.6365850567817688,,,1.5555555555555556,,,,0.1736,6.88888888888889e-05,70,
0.11647438257932663,,3.4663,,,,1.5555555555555556,25.099,3.173,,,,70,
,,,0.22331048548221588,,,1.7777777777777777,,,,0.0942,6.444444444444446e-05,80,
0.07742971926927567,,3.4742,,,,1.7777777777777777,25.042,3.166,,,,80,
,,,0.10944853723049164,,,2.0,,,,0.0716,6e-05,90,
0.06640646606683731,,3.4837,,,,2.0,24.974,3.158,,,,90,
,,,0.11116652190685272,,,2.2222222222222223,,,,0.0628,5.555555555555556e-05,100,
0.05848851799964905,,3.5119,,,,2.2222222222222223,24.773,3.132,,,,100,
,,,0.1185322105884552,,,2.4444444444444446,,,,0.0548,5.111111111111111e-05,110,
0.05033396556973457,,3.5005,,,,2.4444444444444446,24.854,3.142,,,,110,
,,,0.12284105271100998,,,2.6666666666666665,,,,0.0468,4.666666666666667e-05,120,
0.042246557772159576,,3.4997,,,,2.6666666666666665,24.859,3.143,,,,120,
,,,0.2612062692642212,,,2.888888888888889,,,,0.0385,4.222222222222222e-05,130,
0.034127190709114075,,3.4972,,,,2.888888888888889,24.877,3.145,,,,130,
,,,0.058915674686431885,,,3.111111111111111,,,,0.033,3.777777777777778e-05,140,
0.03154583275318146,,3.4966,,,,3.111111111111111,24.882,3.146,,,,140,
,,,0.06856442987918854,,,3.3333333333333335,,,,0.0306,3.3333333333333335e-05,150,
0.029235972091555595,,3.4933,,,,3.3333333333333335,24.905,3.149,,,,150,
,,,0.08159158378839493,,,3.5555555555555554,,,,0.0281,2.8888888888888888e-05,160,
0.026365984231233597,,3.4893,,,,3.5555555555555554,24.934,3.153,,,,160,
,,,0.09793417155742645,,,3.7777777777777777,,,,0.0249,2.4444444444444445e-05,170,
0.02283371612429619,,3.4911,,,,3.7777777777777777,24.921,3.151,,,,170,
,,,0.0766146332025528,,,4.0,,,,0.0214,2e-05,180,
0.019805461168289185,,3.4848,,,,4.0,24.965,3.157,,,,180,
,,,0.058944061398506165,,,4.222222222222222,,,,0.0191,1.5555555555555555e-05,190,
0.018253721296787262,,3.4827,,,,4.222222222222222,24.981,3.158,,,,190,
,,,0.039869602769613266,,,4.444444444444445,,,,0.0179,1.1111111111111112e-05,200,
0.01756308227777481,,3.4895,,,,4.444444444444445,24.932,3.152,,,,200,
,,,0.03147544339299202,,,4.666666666666667,,,,0.0175,6.666666666666667e-06,210,
0.017300911247730255,,3.4885,,,,4.666666666666667,24.939,3.153,,,,210,
,,,0.029054537415504456,,,4.888888888888889,,,,0.0173,2.2222222222222225e-06,220,
0.01720033586025238,,3.4868,,,,4.888888888888889,24.951,3.155,,,,220,
,0.574,,,3.11857747329024e+16,392.0794,5.0,,,0.2902270620730188,,,225,9.182
